"type_name";"num"
"Cargo";2450
"Tanker";787
"Fishing";357
"Cargo - Hazard A (Major)";293
"Sailing Vessel";222
"Tanker - Hazard B";123
"Other";113
"Tanker - Hazard A (Major)";95
"Passenger";61
"Pleasure Craft";60
"Tug";52
"Tanker - Hazard D (Recognizable)";50
"Cargo - Hazard D (Recognizable)";45
"Tanker - Hazard C (Minor)";41
"Cargo - Hazard B";27
"SAR";22
"Military Ops";20
"Dredger";17
"Cargo - Hazard C (Minor)";14
"Pilot Vessel";6
"Wing In Grnd";3
"Law Enforce";2
"High-Speed Craft";2
"Dive Vessel";2
"Anti-Pollution";2
"Special Craft";1
"Local Vessel";1
